URL_ID,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_COMPLEX_WORDS,FOG_INDEX,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLE_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
bctech2011,40,9,0.6326530483132031,0.07740916259493023,26.375,0.4423380726698262,10.726935229067932,280,633,2.5260663507109005,4,7.522906793048973
bctech2012,8,1,0.7777776913580343,0.04545454522497704,28.285714285714285,0.43434343434343436,11.48802308802309,86,198,2.5353535353535355,3,7.797979797979798
bctech2013,8,1,0.7777776913580343,0.04568527895591229,28.142857142857142,0.45685279187817257,11.439883973894126,90,197,2.5583756345177666,3,7.852791878172589
bctech2014,8,1,0.7777776913580343,0.04545454522497704,28.285714285714285,0.4444444444444444,11.492063492063492,88,198,2.5505050505050506,3,7.8232323232323235
bctech2015,9,1,0.7999999200000081,0.050251256028888164,28.428571428571427,0.457286432160804,11.554343144292893,91,199,2.5678391959798996,3,7.839195979899498
bctech2016,8,1,0.7777776913580343,0.046153845917159764,27.857142857142858,0.46153846153846156,11.327472527472528,90,195,2.5641025641025643,3,7.866666666666666
bctech2017,8,1,0.7777776913580343,0.04522613042599934,28.428571428571427,0.4472361809045226,11.55032304379038,89,199,2.5175879396984926,3,7.743718592964824
bctech2018,7,1,0.7499999062500118,0.04020100482311053,28.428571428571427,0.45226130653266333,11.552333094041636,90,199,2.542713567839196,3,7.798994974874372
bctech2019,7,1,0.7499999062500118,0.03864734280846694,29.571428571428573,0.4492753623188406,12.008281573498966,93,207,2.5652173913043477,3,7.830917874396135
bctech2020,8,1,0.7777776913580343,0.04545454522497704,28.285714285714285,0.4595959595959596,11.498124098124098,91,198,2.601010101010101,3,8.030303030303031
bctech2021,9,1,0.7999999200000081,0.0495049502499755,28.857142857142858,0.4603960396039604,11.727015558698728,93,202,2.5495049504950495,3,7.811881188118812
bctech2022,23,5,0.64285711989796,0.05533596827008702,13.31578947368421,0.40118577075098816,5.4867900977740796,203,506,2.525691699604743,3,8.183794466403162
bctech2023,22,4,0.6923076656804744,0.06878306860110299,18.0,0.42592592592592593,7.370370370370371,161,378,2.5291005291005293,7,7.804232804232805
bctech2024,10,4,0.42857139795918586,0.049999999821428574,23.333333333333332,0.42142857142857143,9.501904761904761,118,280,2.4785714285714286,4,7.710714285714285
bctech2025,23,5,0.64285711989796,0.05932203377262281,13.485714285714286,0.4279661016949153,5.565472154963681,202,472,2.4745762711864407,21,7.5275423728813555
bctech2026,36,4,0.7999999800000005,0.09009008988718448,17.076923076923077,0.40315315315315314,6.992030492030492,179,444,2.421171171171171,10,7.761261261261262
bctech2027,23,3,0.7692307396449716,0.06220095678899293,16.076923076923077,0.39712918660287083,6.58962090541038,166,418,2.416267942583732,6,7.45933014354067
bctech2028,27,9,0.4999999861111115,0.07058823515570935,14.571428571428571,0.37254901960784315,5.977591036414566,190,510,2.4725490196078432,3,7.7254901960784315
bctech2029,36,9,0.599999986666667,0.10067114071438224,15.964285714285714,0.4608501118568233,6.570054330457015,206,447,2.559284116331096,18,7.973154362416107
bctech2030,29,13,0.3809523718820864,0.0857142855393586,14.0,0.373469387755102,5.749387755102042,183,490,2.4183673469387754,7,7.593877551020408
bctech2031,27,4,0.7419354599375658,0.05575539558317375,12.930232558139535,0.4136690647482014,5.337560649155095,230,556,2.4370503597122304,12,7.719424460431655
bctech2032,8,1,0.7777776913580343,0.03146853135850164,22.0,0.40559440559440557,8.962237762237763,116,286,2.3566433566433567,6,7.136363636363637
bctech2033,15,8,0.3043478128544429,0.058080807934139375,14.666666666666666,0.48484848484848486,6.0606060606060606,192,396,2.648989898989899,4,8.063131313131313
bctech2034,26,1,0.9259258916323744,0.0780346818553911,18.210526315789473,0.43641618497109824,7.458777000304228,151,346,2.4884393063583814,3,7.61271676300578
bctech2035,19,7,0.4615384437869829,0.065491183714128,14.178571428571429,0.45591939546599497,5.85379632961497,181,397,2.513853904282116,7,7.38287153652393
bctech2036,25,12,0.35135134185536915,0.07676348531791809,11.209302325581396,0.3921161825726141,4.640567403261604,189,482,2.392116182572614,3,7.323651452282157
bctech2037,23,16,0.17948717488494426,0.0653266330564043,19.9,0.32830820770519265,8.091323283082076,196,597,2.204355108877722,12,6.775544388609715
bctech2038,13,2,0.7333332844444478,0.05067567550447407,16.444444444444443,0.3310810810810811,6.71021021021021,98,296,2.3175675675675675,9,7.4425675675675675
bctech2039,10,2,0.6666666111111158,0.045112781785290296,15.647058823529411,0.3458646616541353,6.397169394073419,92,266,2.31203007518797,7,7.169172932330827
bctech2040,9,2,0.636363578512402,0.04296874983215332,36.57142857142857,0.3828125,14.78169642857143,98,256,2.33203125,7,7.30859375
bctech2041,9,2,0.636363578512402,0.05945945913805698,26.428571428571427,0.3891891891891892,10.727104247104247,72,185,2.427027027027027,3,7.427027027027027
bctech2042,9,2,0.636363578512402,0.04824561382348415,28.5,0.37280701754385964,11.549122807017545,85,228,2.3991228070175437,6,7.192982456140351
bctech2043,10,2,0.6666666111111158,0.041237113260353564,36.375,0.30584192439862545,14.672336769759452,89,291,2.1993127147766325,3,6.745704467353952
bctech2044,14,3,0.6470587854671302,0.04545454533300924,12.466666666666667,0.37967914438502676,5.1385383244206775,142,374,2.6898395721925135,8,8.911764705882353
bctech2045,10,2,0.6666666111111158,0.041811846544209594,16.88235294117647,0.3588850174216028,6.89649518343923,103,287,2.397212543554007,5,7.449477351916376
